VertexName,X,Y
0,0.14534484942789172,0.5952074267598227
1,0.1780343664907107,0.5447532083510894
2,0.44528849086307,0.37112809262243807
3,0.7680184439916714,0.21864949506367082
4,0.8441275307711579,0.18719855656132744
5,0.9306391233001976,0.9594727199174908
6,0.8370758125856113,0.5057433037650542
7,0.8134329889541219,0.9771966431304585
8,0.8569518799785358,0.29283138896616556
9,0.6899272769649988,0.12792195452761634
10,0.7550887122089304,0.32990255175290184
11,0.6303960845622201,0.1664665350122736
12,0.14174119555147235,0.08762708340132996
13,0.5260263178631722,0.8359850153985781
14,0.4099970424571969,0.13566300517398944
15,0.2792678831489367,0.8390820999739994
16,0.9400473871441779,0.21138784951872647
17,0.16161977172515452,0.02492253071167505
18,0.9347755267754942,0.7513466319361147
19,0.3098294044646317,0.4481299810354479
20,0.5729734547362292,0.9010713001751566
21,0.08245982559080367,0.30780637846064707
22,0.6830979584277469,0.7620916283879097
23,0.5310055477730635,0.15879171625638178
24,0.938328535653992,0.9093706090233968
25,0.5532145720846343,0.20232400933156003
26,0.652792482813146,0.018062714168075145
27,0.3910005619607403,0.9095477565872143
28,0.6191723238688334,0.7754062866807897
29,0.011305891332286322,0.7088585364146389
30,0.06951409128885233,0.12172617566708888
31,0.5655024940341994,0.9768603493873099
32,0.7639048054580352,0.26393627233555594
33,0.5613944406013918,0.11275116660500195
34,0.41579065222714606,0.8355962301643727
35,0.6016125738609647,0.04724181217642576
36,0.14805764526980114,0.03949001319621104
37,0.5431677039346549,0.13965170290835527
38,0.4405988385628,0.6018586754815903
39,0.7151561970897983,0.050614233171798806
40,0.07794360826252378,0.8918333553041683
41,0.39508762401237485,0.8428640575870516
42,0.9346259124803964,0.6152785387760942
43,0.0890311884345133,0.2588669220107408
44,0.04631998548125538,0.07917026829219698
45,0.2867538653697753,0.8515923190980561
46,0.30637392766304106,0.14079723482977258
47,0.2702501637191578,0.40351793778389144
48,0.3002224751967738,0.6054873707920503
49,0.24253925355810968,0.8589941413948717
50,0.24426246621438708,0.017226297634607035
51,0.5133329038368364,0.8163857570086676
52,0.7311257797428303,0.49844813589070003
53,0.729153074296457,0.478947348722253
54,0.9998860459923271,0.5384433967958666
55,0.16770507473223728,0.8471775204267711
56,0.7475870929054894,0.4042423484577218
57,0.9297892316885973,0.850436397815891
58,0.07758271034703801,0.1534969500456067
59,0.45675949713277764,0.06190009261864626
60,0.04052867134492122,0.06579755218223549
61,0.1775149122989732,0.6184644639760288
62,0.3654697944407075,0.6770258555006872
63,0.2462363075890146,0.9759999486356531
64,0.4013159703773612,0.5007585126273612
65,0.27055625497323144,0.17039787488357627
66,0.9931032832840769,0.9514004090888153
67,0.6495783412091043,0.3261384718201378
68,0.002787217222632865,0.9456410243586634
69,0.642137187287409,0.25664875548523136
70,0.45091692703048347,0.15199038688444622
71,0.5679176082613808,0.13450872916823098
72,0.8033911181117848,0.8825662300155734
73,0.6075279955664831,0.3746024364528233
74,0.756597387101506,0.17696722949597554
75,0.5123495452071216,0.0695999433271044
76,0.9845886245143007,0.7149818315363291
77,0.16095918585932412,0.5446955864009324
78,0.7035517351470889,0.8130458388594785
79,0.306151083700929,0.8573159883518378
80,0.5816750748998271,0.9087762645478725
81,0.04505776160431296,0.3575516874232262
82,0.4766233325450896,0.6185727532170787
83,0.5145988232400213,0.746354150665369
84,0.7181790619769666,0.6651923129887921
85,0.0654613934162751,0.4210796725705378
86,0.17021273281808902,0.7153666651206151
87,0.7000434478574089,0.28175043019261536
88,0.1039941406584084,0.44194616792152663
89,0.873267226749384,0.58644229267706
90,0.9939593590009288,0.9307176831602418
91,0.8498969482117347,0.890497541155851
92,0.7073998384536536,0.8889584299536568
93,0.6879713914625533,0.5818004409396137
94,0.2011406802932012,0.9809515034243066
95,0.5751884690937853,0.03314193965649381
96,0.7611278674717649,0.015103036872762265
97,0.6835554449519068,0.9327393991593368
98,0.024944736887703156,0.6379648094337533
99,0.9273453511530345,0.9252660300798067
100,0.5126301859999195,0.6523806233652484
101,0.010376058746009331,0.29828368853616904
102,0.15777265535269414,0.07013808890913942
103,0.9308556413496419,0.08276209351450148
104,0.3787048609942548,0.5339224061823311
105,0.6755141578767015,0.6014063920679297
106,0.5587269960083874,0.7990320892559629
107,0.17946791822894936,0.19480372514530386
108,0.41463611867846517,0.5522308855567464
109,0.7542398750752888,0.5829394153775264
110,0.6244425672249364,0.9632743608967127
111,0.09358528021860535,0.07842131635988525
112,0.2580047655546399,0.014063553090919778
113,0.6552493130400887,0.6577908733950596
114,0.008415585335246112,0.8310418495650161
115,0.6865091418796829,0.7185879720252494
116,0.9573254042747015,0.9583660682835178
117,0.41232970779308664,0.2023758983550047
118,0.623987852342775,0.7525459494373918
119,0.9371896192566964,0.6477217653756274
120,0.3456664404124207,0.8536608480459545
121,0.22510890441531672,0.6521669447765288
122,0.6161416587543044,0.9939263432964345
123,0.11713836532471877,0.16851072841755166
124,0.8694091928256584,0.24129752392519765
125,0.721545641321169,0.03827011785512335
126,0.3372623444881614,0.14395967652248842
